mcc,tp,tn,fp,fn,auroc,auprc,eval_loss,acc,prec_micro,prec_macro,rec_micro,rec_macro,f1_micro,f1_macro,data_name,model_name,seed,train_batch_size,epoch
0.14784257305350618,613.0,395.0,781.0,153.0,0.7151704676648728,0.7185992742633287,0.5571939547856649,0.5190525231719877,0.5190525231719877,0.5802723350333546,0.5190525231719877,0.5680727251736204,0.5190525231719877,0.5129146257626536,task3,Masked-2KTweets-ConfliBERT-scr-cased,123,8,1
0.0,0.0,1176.0,0.0,766.0,0.7481777632724108,0.6497097381070134,0.6779318991511938,0.6055612770339855,0.6055612770339855,0.3027806385169928,0.6055612770339855,0.5,0.6055612770339855,0.37716484926234767,task3,Masked-2KTweets-ConfliBERT-scr-cased,123,8,2
0.4782939744545036,309.0,1141.0,35.0,457.0,0.6400502433349318,0.6551604981361286,0.6462157400547232,0.7466529351184346,0.7466529351184346,0.8061366679279331,0.7466529351184346,0.6868161755563844,0.7466529351184347,0.6896977727547302,task3,Masked-2KTweets-ConfliBERT-scr-cased,123,8,3
0.0,0.0,1176.0,0.0,766.0,0.7022294231008331,0.5856710193101423,0.6709426646369966,0.6055612770339855,0.6055612770339855,0.3027806385169928,0.6055612770339855,0.5,0.6055612770339855,0.37716484926234767,task3,Masked-2KTweets-ConfliBERT-scr-cased,123,8,4
-0.0818582159395804,385.0,487.0,689.0,381.0,0.636922523578622,0.640565585578332,1.0702318511136766,0.4490216271884655,0.4490216271884655,0.459766452985952,0.4490216271884655,0.45836330615797233,0.4490216271884655,0.4474974474602229,task3,Masked-2KTweets-ConfliBERT-scr-cased,123,8,5
0.14784257305350618,613.0,395.0,781.0,153.0,0.7151704676648728,0.7185992742633287,0.5571939547856649,0.5190525231719877,0.5190525231719877,0.5802723350333546,0.5190525231719877,0.5680727251736204,0.5190525231719877,0.5129146257626536,task3,Masked-2KTweets-ConfliBERT-scr-uncased,123,8,1
0.8713640397952617,687.0,1136.0,40.0,79.0,0.987241567645335,0.9793609012392761,0.14975587608400012,0.9387229660144182,0.9387229660144182,0.9399793955655181,0.9387229660144182,0.9314266176444468,0.9387229660144182,0.9352623689583874,task3,Masked-2KTweets-ConfliBERT-scr-uncased,123,8,2
0.4782939744545036,309.0,1141.0,35.0,457.0,0.6400502433349318,0.6551604981361286,0.6462157400547232,0.7466529351184346,0.7466529351184346,0.8061366679279331,0.7466529351184346,0.6868161755563844,0.7466529351184347,0.6896977727547302,task3,Masked-2KTweets-ConfliBERT-scr-uncased,123,8,3
0.8692677298293646,683.0,1138.0,38.0,83.0,0.9841332747198096,0.9626422015187301,0.2994926504328715,0.9376930998970134,0.9376930998970134,0.9396591775232552,0.9376930998970134,0.92966599172306,0.9376930998970134,0.9340741719572689,task3,Masked-2KTweets-ConfliBERT-scr-uncased,123,8,4
-0.0818582159395804,385.0,487.0,689.0,381.0,0.636922523578622,0.640565585578332,1.0702318511136766,0.4490216271884655,0.4490216271884655,0.459766452985952,0.4490216271884655,0.45836330615797233,0.4490216271884655,0.4474974474602229,task3,Masked-2KTweets-ConfliBERT-scr-uncased,123,8,5
0.14784257305350618,613.0,395.0,781.0,153.0,0.7151704676648728,0.7185992742633287,0.5571939547856649,0.5190525231719877,0.5190525231719877,0.5802723350333546,0.5190525231719877,0.5680727251736204,0.5190525231719877,0.5129146257626536,task3,Masked-2KTweets-ConfliBERT-cont-cased,123,8,1
0.8922599513596341,717.0,1125.0,51.0,49.0,0.9843863785723166,0.9738653357742421,0.20031008940264813,0.9485066941297632,0.9485066941297632,0.9459280504684838,0.9485066941297632,0.9463319923269569,0.9485066941297633,0.9461288801353713,task3,Masked-2KTweets-ConfliBERT-cont-cased,123,8,2
0.4782939744545036,309.0,1141.0,35.0,457.0,0.6400502433349318,0.6551604981361286,0.6462157400547232,0.7466529351184346,0.7466529351184346,0.8061366679279331,0.7466529351184346,0.6868161755563844,0.7466529351184347,0.6896977727547302,task3,Masked-2KTweets-ConfliBERT-cont-cased,123,8,3
0.8876406189580414,707.0,1131.0,45.0,59.0,0.9820662599243353,0.9676647555748832,0.3285132343398164,0.9464469618949537,0.9464469618949537,0.945289871267656,0.9464469618949537,0.942355597591517,0.9464469618949537,0.9437663785489872,task3,Masked-2KTweets-ConfliBERT-cont-cased,123,8,4
-0.0818582159395804,385.0,487.0,689.0,381.0,0.636922523578622,0.640565585578332,1.0702318511136766,0.4490216271884655,0.4490216271884655,0.459766452985952,0.4490216271884655,0.45836330615797233,0.4490216271884655,0.4474974474602229,task3,Masked-2KTweets-ConfliBERT-cont-cased,123,8,5
0.14784257305350618,613.0,395.0,781.0,153.0,0.7151704676648728,0.7185992742633287,0.5571939547856649,0.5190525231719877,0.5190525231719877,0.5802723350333546,0.5190525231719877,0.5680727251736204,0.5190525231719877,0.5129146257626536,task3,Masked-2KTweets-ConfliBERT-cont-uncased,123,8,1
0.8913706761882256,731.0,1109.0,67.0,35.0,0.9823293547183887,0.9655710405751904,0.1624267651793382,0.9474768280123584,0.9474768280123584,0.9427228473281104,0.9474768280123584,0.9486676524395659,0.9474768280123584,0.9454085457271364,task3,Masked-2KTweets-ConfliBERT-cont-uncased,123,8,2
0.4782939744545036,309.0,1141.0,35.0,457.0,0.6400502433349318,0.6551604981361286,0.6462157400547232,0.7466529351184346,0.7466529351184346,0.8061366679279331,0.7466529351184346,0.6868161755563844,0.7466529351184347,0.6896977727547302,task3,Masked-2KTweets-ConfliBERT-cont-uncased,123,8,3
