mcc,tp,tn,fp,fn,auroc,auprc,eval_loss,acc,prec_micro,prec_macro,rec_micro,rec_macro,f1_micro,f1_macro,data_name,model_name,seed,train_batch_size,epoch
0.19899604339523305,51.0,1175.0,1.0,715.0,0.6084638816362055,0.5515269050246043,0.7444147129117706,0.631307929969104,0.631307929969104,0.8012311762311762,0.631307929969104,0.5328646471643488,0.631307929969104,0.44558267423927067,task1,Masked-2KTweets-ConfliBERT-scr-cased,123,8,1
0.02812396238191701,1.0,1176.0,0.0,765.0,0.8358932345784267,0.7776962368556243,0.67255603028423,0.606076210092688,0.606076210092688,0.8029366306027821,0.606076210092688,0.5006527415143603,0.606076210092688,0.3785896327453562,task1,Masked-2KTweets-ConfliBERT-scr-cased,123,8,2
0.02812396238191701,1.0,1176.0,0.0,765.0,0.854185538445143,0.8044858504830276,0.6708667741881477,0.606076210092688,0.606076210092688,0.8029366306027821,0.606076210092688,0.5006527415143603,0.606076210092688,0.3785896327453562,task1,Masked-2KTweets-ConfliBERT-scr-cased,123,8,3
0.4579244123241889,260.0,1161.0,15.0,506.0,0.8497551109216532,0.790214796737965,0.577608035915673,0.731719876416066,0.731719876416066,0.8209576266564869,0.731719876416066,0.6633352427132733,0.7317198764160661,0.6581312849228078,task1,Masked-2KTweets-ConfliBERT-scr-cased,123,8,4
0.722146491677161,617.0,1069.0,107.0,149.0,0.9086172980941724,0.8798254988107042,0.41983445997468727,0.8681771369721936,0.8681771369721936,0.8649391267270863,0.8681771369721936,0.8572483170814018,0.8681771369721936,0.8606269588961217,task1,Masked-2KTweets-ConfliBERT-scr-cased,123,8,5
0.9026953669521616,732.0,1119.0,57.0,34.0,0.9898025789950445,0.9839264232854824,0.17937346238790486,0.9531410916580845,0.9531410916580845,0.9491341812893461,0.9531410916580845,0.9535720946341983,0.9531410916580845,0.9512032681732773,task1,Masked-2KTweets-ConfliBERT-scr-uncased,123,8,1
0.909777715808609,730.0,1128.0,48.0,36.0,0.9908482975435605,0.9853944206626586,0.21203895210941923,0.956745623069001,0.956745623069001,0.9536877534253836,0.956745623069001,0.9560931422177226,0.956745623069001,0.9548492095124219,task1,Masked-2KTweets-ConfliBERT-scr-uncased,123,8,2
0.9050532352083227,704.0,1150.0,26.0,62.0,0.9884982060709401,0.9858790100853214,0.29087940180051874,0.9546858908341915,0.9546858908341915,0.9566142230661423,0.9546858908341915,0.9484756043409531,0.9546858908341915,0.9521627746576018,task1,Masked-2KTweets-ConfliBERT-scr-uncased,123,8,3
0.9127095567541417,726.0,1135.0,41.0,40.0,0.9915765261718266,0.9881607651397767,0.24845268736306458,0.9582904222451082,0.9582904222451082,0.956251213625898,0.9582904222451082,0.9564583666364719,0.9582904222451082,0.9563545012698098,task1,Masked-2KTweets-ConfliBERT-scr-uncased,123,8,4
0.9170622225856191,729.0,1136.0,40.0,37.0,0.9918296300243336,0.9883125801653317,0.2528644548361971,0.9603501544799176,0.9603501544799176,0.9582206716575927,0.9603501544799176,0.9588417612475799,0.9603501544799176,0.9585286136036819,task1,Masked-2KTweets-ConfliBERT-scr-uncased,123,8,5
0.8913293754296031,719.0,1122.0,54.0,47.0,0.9846516935756026,0.9789872880393949,0.21924737827165375,0.9479917610710608,0.9479917610710608,0.9449684995191653,0.9479917610710608,0.9463619651515959,0.9479917610710608,0.9456513034936707,task1,Masked-2KTweets-ConfliBERT-cont-cased,123,8,1
0.8977951561178991,734.0,1112.0,64.0,32.0,0.983272943642209,0.9743990970229759,0.2541826087986253,0.9505664263645726,0.9505664263645726,0.9459137353874196,0.9505664263645726,0.9519013871867286,0.9505664263645726,0.9486198077431872,task1,Masked-2KTweets-ConfliBERT-cont-cased,123,8,2
0.8936157252513508,722.0,1121.0,55.0,44.0,0.9840000621658586,0.9743097445540985,0.24829175406475282,0.9490216271884655,0.9490216271884655,0.9457233444357908,0.9490216271884655,0.9478950196266496,0.9490216271884655,0.9467748271603469,task1,Masked-2KTweets-ConfliBERT-cont-cased,123,8,3
0.8987244935789147,720.0,1128.0,48.0,46.0,0.9843908189907817,0.9770906578195959,0.30649337795255355,0.9515962924819773,0.9515962924819773,0.9491588586030664,0.9515962924819773,0.9495657270741195,0.9515962924819773,0.9493611473272491,task1,Masked-2KTweets-ConfliBERT-cont-cased,123,8,4
0.8980633644920608,726.0,1121.0,55.0,40.0,0.9840644482336015,0.9752191848672047,0.3043527940162189,0.951081359423275,0.951081359423275,0.9475622035399304,0.951081359423275,0.9505059856840908,0.951081359423275,0.9489702072198485,task1,Masked-2KTweets-ConfliBERT-cont-cased,123,8,5
0.9071643810797264,719.0,1137.0,39.0,47.0,0.9889466883359088,0.9840302431478377,0.14663025169775135,0.9557157569515963,0.9557157569515963,0.9544264333594809,0.9557157569515963,0.952739516172004,0.9557157569515963,0.9535644379198364,task1,Masked-2KTweets-ConfliBERT-cont-uncased,123,8,1
0.8937005697180915,741.0,1100.0,76.0,25.0,0.986050425392089,0.9781021012219127,0.22626279077757103,0.9479917610710608,0.9479917610710608,0.9423772609819121,0.9479917610710608,0.9513685369709242,0.9479917610710608,0.9461515674884413,task1,Masked-2KTweets-ConfliBERT-cont-uncased,123,8,2
0.9139037193325303,729.0,1133.0,43.0,37.0,0.9912002007069146,0.9871621933824615,0.24467709340983806,0.9588053553038105,0.9588053553038105,0.9563382932553917,0.9588053553038105,0.9575662510434984,0.9588053553038105,0.9569418992790761,task1,Masked-2KTweets-ConfliBERT-cont-uncased,123,8,3
