mcc,tp,tn,fp,fn,auroc,auprc,eval_loss,acc,prec_micro,prec_macro,rec_micro,rec_macro,f1_micro,f1_macro,data_name,model_name,seed,train_batch_size,epoch
0.8595802529070603,710.0,1101.0,75.0,56.0,0.980213495319799,0.9710099210846824,0.24399479385752829,0.9325437693099897,0.9325437693099897,0.9280287807805163,0.9325437693099897,0.9315587200937816,0.9325437693099897,0.9296937418249582,4k_tweets,ConfliBERT-scr-uncased,123,8,1
0.882223836620741,693.0,1140.0,36.0,73.0,0.9882717447292233,0.9838168172872416,0.22644127259623076,0.9438722966014418,0.9438722966014418,0.9452179577213927,0.9438722966014418,0.9370437470027175,0.9438722966014418,0.940732258078064,4k_tweets,ConfliBERT-scr-uncased,123,8,2
0.8962554728754182,706.0,1140.0,36.0,60.0,0.9884970959663238,0.983326665881491,0.2703388828870221,0.9505664263645726,0.9505664263645726,0.9507412398921833,0.9505664263645726,0.9455293866894017,0.9505664263645726,0.9479677410711893,4k_tweets,ConfliBERT-scr-uncased,123,8,3
0.8848637307079147,684.0,1151.0,25.0,82.0,0.9878965293689278,0.9840740270489069,0.32556173963443624,0.9449021627188465,0.9449021627188465,0.94911730422319,0.9449021627188465,0.935845944121774,0.9449021627188465,0.9415204283372383,4k_tweets,ConfliBERT-scr-uncased,123,8,4
0.8667417714059843,754.0,1056.0,120.0,12.0,0.9869895738974441,0.9739247676508818,0.474026127965038,0.9320288362512873,0.9320288362512873,0.9257321368883861,0.9320288362512873,0.941146693664411,0.9320288362512873,0.9303443328550933,4k_tweets,ConfliBERT-scr-uncased,123,8,5
0.8952207524793298,711.0,1134.0,42.0,55.0,0.9883727642493029,0.9815705553506489,0.3489710270874085,0.9500514933058702,0.9500514933058702,0.9489828742222028,0.9500514933058702,0.9462420738530399,0.9500514933058702,0.947563699830338,4k_tweets,ConfliBERT-scr-uncased,123,8,6
0.9146959062297049,721.0,1142.0,34.0,45.0,0.9870373083959431,0.98183559575428,0.36745301705602584,0.9593202883625128,0.9593202883625128,0.9585280940877163,0.9593202883625128,0.9561708495408607,0.9593202883625129,0.9573142043274534,4k_tweets,ConfliBERT-scr-uncased,123,8,7
0.8999366494277902,735.0,1113.0,63.0,31.0,0.988056384433669,0.9810786390489427,0.4053019869258265,0.9515962924819773,0.9515962924819773,0.9469773647405226,0.9515962924819773,0.9529792987691159,0.9515962924819773,0.9496902284152041,4k_tweets,ConfliBERT-scr-uncased,123,8,8
0.9044371251517734,728.0,1125.0,51.0,38.0,0.9883283600646525,0.982470036297815,0.39231660641519517,0.9541709577754892,0.9541709577754892,0.9509286659595111,0.9541709577754892,0.9535121489849203,0.9541709577754892,0.952172186548341,4k_tweets,ConfliBERT-scr-uncased,123,8,9
0.9038141433016494,733.0,1119.0,57.0,33.0,0.9884238290616508,0.9820846632754754,0.4075545613233412,0.9536560247167868,0.9536560247167868,0.9496011339662447,0.9536560247167868,0.9542248361485586,0.9536560247167868,0.951749794609493,4k_tweets,ConfliBERT-scr-uncased,123,8,10
0.8442770934405063,746.0,1042.0,134.0,20.0,0.9829876467558302,0.974045401012424,0.23616996198631976,0.9207003089598352,0.9207003089598352,0.9144474405067626,0.9207003089598352,0.9299723805971475,0.9207003089598352,0.9188142077036758,4k_tweets,ConfliBERT-cont-uncased,123,8,1
0.8934818309085808,720.0,1123.0,53.0,46.0,0.9886724924956929,0.9829952375653872,0.18301582350510598,0.9490216271884655,0.9490216271884655,0.9460430460461446,0.9490216271884655,0.9474398767339834,0.9490216271884655,0.9467275153056771,4k_tweets,ConfliBERT-cont-uncased,123,8,2
0.8876406189580414,707.0,1131.0,45.0,59.0,0.9883938562370118,0.9835648064982775,0.23909794155821115,0.9464469618949537,0.9464469618949537,0.945289871267656,0.9464469618949537,0.942355597591517,0.9464469618949537,0.9437663785489872,4k_tweets,ConfliBERT-cont-uncased,123,8,3
0.9031390770320001,724.0,1128.0,48.0,42.0,0.9844701914708441,0.9802319988763033,0.3180633975992541,0.9536560247167868,0.9536560247167868,0.9509631991497276,0.9536560247167868,0.9521766931315607,0.9536560247167868,0.9515596366889606,4k_tweets,ConfliBERT-cont-uncased,123,8,4
0.8919691141368289,727.0,1114.0,62.0,39.0,0.9870639509067335,0.9799599277382124,0.39351648109336956,0.9479917610710608,0.9479917610710608,0.9437973567603991,0.9479917610710608,0.9481825367222607,0.9479917610710608,0.9458409899505604,4k_tweets,ConfliBERT-cont-uncased,123,8,5
0.898776799999059,721.0,1127.0,49.0,45.0,0.9879098506243229,0.9828516462930544,0.3956112299125275,0.9515962924819773,0.9515962924819773,0.9489838659633882,0.9515962924819773,0.9497932985204526,0.9515962924819773,0.9493840058915388,4k_tweets,ConfliBERT-cont-uncased,123,8,6
0.9082323894347333,719.0,1138.0,38.0,47.0,0.9882495426368981,0.9834703642976796,0.3861593438063202,0.9562306900102987,0.9562306900102987,0.9550697010740821,0.9562306900102987,0.9531646862400313,0.9562306900102988,0.9540937031311225,4k_tweets,ConfliBERT-cont-uncased,123,8,7
0.9082863652468812,721.0,1136.0,40.0,45.0,0.9883250297508037,0.9833883066799755,0.39576373022644046,0.9562306900102987,0.9562306900102987,0.9546671399212898,0.9562306900102987,0.9536198291326974,0.9562306900102988,0.9541362531427654,4k_tweets,ConfliBERT-cont-uncased,123,8,8
